시도,시군구,사물명,관리부서,사물주소,시설형태
대전광역시,동구,삼성디지털프라자,운송주차과,대전광역시 동구 동서대로 1684,표지판형
대전광역시,동구,엠제이쥬얼리 앞,운송주차과,대전광역시 동구 동서대로 1710 ,표지판형
대전광역시,동구,흥룡네거리/대전보건대,운송주차과,대전광역시 동구 동대전로284번길 120,표지판형
대전광역시,동구,우송대 서캠퍼스,운송주차과,대전광역시 동구 동대전로 169 ,표지판형
대전광역시,동구,빌라맨션,운송주차과,대전광역시 동구 대전천동로 618 ,표지판형
대전광역시,동구,창안과 의원,운송주차과,대전광역시 동구 대전로 789,표지판형
대전광역시,동구,오도상사,운송주차과,대전광역시 동구 대흥로 204 ,표지판형
대전광역시,동구,신흥시외버스정류장,운송주차과,대전광역시 동구 계족로 95 ,표지판형
대전광역시,동구,효동현대아파트/새마을금고,운송주차과,대전광역시 동구 대전로 650 ,표지판형
대전광역시,동구,동부로 57 건물 뒤,운송주차과,대전광역시 동구 동부로 57 ,표지판형
대전광역시,동구,가오동 홈플러스,운송주차과,대전광역시 동구 동구청로 94 ,표지판형
대전광역시,중구,선화신협 맞은편,운송주차과,대전광역시 중구 대종로 589 ,표지판형
대전광역시,중구,선화신협/선화동성당,운송주차과,대전광역시 중구 대종로 588 ,표지판형
대전광역시,중구,대전세무서 맞은편,운송주차과,대전광역시 중구 보문로 330 ,표지판형
대전광역시,중구,선화시티빌,운송주차과,대전광역시 중구 대종로 547 ,표지판형
대전광역시,중구,중구 선거관리위원회,운송주차과,대전광역시 중구 대종로 526 ,표지판형
대전광역시,중구,스마트284 주상복합,운송주차과,대전광역시 중구 보문로 290 ,표지판형
대전광역시,중구,중구청,운송주차과,대전광역시 중구 보문로 255 ,표지판형
대전광역시,중구,한우리 신협 앞,운송주차과,대전광역시 중구 대종로 485,표지판형
대전광역시,중구,대우당약국,운송주차과,대전광역시 중구 중앙로 169,표지판형
대전광역시,중구,대전평생학습관,운송주차과,대전광역시 중구 대종로 463 ,표지판형
대전광역시,중구,대전고 북쪽,운송주차과,대전광역시 중구 대흥로 116 ,표지판형
대전광역시,중구,동건참좋은아파트,운송주차과,대전광역시 중구 대종로 423 ,표지판형
대전광역시,중구,대전남부교회,운송주차과,대전광역시 중구 대종로 424 ,표지판형
대전광역시,중구,대흥동우체국 맞은편,운송주차과,대전광역시 중구 대흥로 177 ,표지판형
대전광역시,중구,대흥동우체국,운송주차과,대전광역시 중구 대흥로 178 ,표지판형
대전광역시,중구,한밭종합운동장 북쪽,운송주차과,대전광역시 중구 충무로 124 ,표지판형
대전광역시,중구,한밭종합운동장 동쪽 입구,운송주차과,대전광역시 중구 대종로 339 ,표지판형
대전광역시,중구,한밭종합운동장 동쪽 입구 맞은편,운송주차과,대전광역시 중구 대종로 342 ,표지판형
대전광역시,중구,부사동시외버스정류장,운송주차과,대전광역시 중구 대종로 289 ,표지판형
대전광역시,중구,부사동 시외버스정류장 맞은편,운송주차과,대전광역시 중구 대종로 288 ,표지판형
대전광역시,중구,솔빛아파트,운송주차과,대전광역시 중구 대종로 60 ,표지판형
대전광역시,중구,유등마을아파트 111동,운송주차과,대전광역시 중구 수침로 134 ,표지판형
대전광역시,중구,유승모터스,운송주차과,대전광역시 중구 오류로 121 ,표지판형
대전광역시,중구,계룡육교/남양알로에,운송주차과,대전광역시 중구 계룡로 767 ,표지판형
대전광역시,중구,희영빌딩,운송주차과,대전광역시 중구 계룡로 825 ,표지판형
대전광역시,중구,하우스토리1차,운송주차과,대전광역시 중구 계룡로 925 ,표지판형
대전광역시,중구,다이소,운송주차과,대전광역시 중구 계백로 1693 ,표지판형
대전광역시,중구,서대전네거리역 4번출구,운송주차과,대전광역시 중구 계룡로 878,표지판형
대전광역시,중구,서대전네거리역 5번출구,운송주차과,대전광역시 중구 계룡로 875,표지판형
대전광역시,중구,한사랑아파트,운송주차과,대전광역시 중구 계백로 1619,표지판형
대전광역시,중구,계룡의료기,운송주차과,대전광역시 중구 계백로 1583 ,표지판형
대전광역시,중구,유천시장,운송주차과,대전광역시 중구 계백로 1580,표지판형
대전광역시,중구,우성아파트 111동,운송주차과,대전광역시 중구 서문로 32,표지판형
대전광역시,서구,대전예술의전당 버스정류장 근처,운송주차과,대전광역시 서구 둔산대로 155,표지판형
대전광역시,서구,산업은행,운송주차과,대전광역시 서구 둔산서로 131 ,표지판형
대전광역시,서구,정부청사 남쪽2,운송주차과,대전광역시 서구 청사로 166 맞은편,표지판형
대전광역시,서구,정부청사 남쪽 1,운송주차과,대전광역시 서구 청사로 199 ,표지판형
대전광역시,서구,서구 둔산동 917,운송주차과,대전광역시 서구 청사로 220 ,표지판형
대전광역시,서구,둥지아파트 입구/상가,운송주차과,대전광역시 서구 청사로 252 ,표지판형
대전광역시,서구,수정타운A 상가,운송주차과,대전광역시 서구 문정로 282,표지판형
대전광역시,서구,국화아파트,운송주차과,대전광역시 서구 둔산로201,표지판형
대전광역시,서구,둔산우체국 맞은편,운송주차과,대전광역시 서구 시청역 5번출구쪽,표지판형
대전광역시,서구,탄방역 2번출구,운송주차과,대전광역시 서구 문정로48번길 24 ,표지판형
대전광역시,서구,탄방주민센터,운송주차과,대전광역시 서구 문정로 130 ,표지판형
대전광역시,서구,남선공원종합체육관 입구,운송주차과,대전광역시 서구 둔산남로 184 ,표지판형
대전광역시,서구,서구 탄방동 78-26,운송주차과,대전광역시 서구 도산로 397 ,표지판형
대전광역시,서구,서구 용문동 243-15,운송주차과,대전광역시 서구 도산로 398 ,표지판형
대전광역시,서구,행정복지센터,운송주차과,대전광역시 서구 계룡로 668 ,표지판형
대전광역시,서구,무지개A,운송주차과,대전광역시 서구 도산로 374 ,표지판형
대전광역시,서구,맑은아침아파트,운송주차과,대전광역시 서구 갈마로 246,표지판형
대전광역시,서구,KT연수원,운송주차과,대전광역시 서구 갈마로 166 ,표지판형
대전광역시,서구,서우아파트 2단지,운송주차과,대전광역시 서구 동서대로 992 ,표지판형
대전광역시,서구,경남아파트,운송주차과,대전광역시 서구 배재로 149 ,표지판형
대전광역시,서구,도마시장입구 맞은편,운송주차과,대전광역시 서구 계백로 1474 ,표지판형
대전광역시,서구,도마시장 입구,운송주차과,대전광역시 서구 계백로 1467 ,표지판형
대전광역시,서구,대일의류도매백화점 맞은편,운송주차과,대전광역시 서구 계백로 1454 ,표지판형
대전광역시,서구,은아아파트 3단지,운송주차과,대전광역시 서구 계백로 1140 ,표지판형
대전광역시,서구,국민은행 인근,운송주차과,대전광역시 서구 관저중로 92 ,표지판형
대전광역시,유성구,반석역 5번 출구,운송주차과,대전광역시 유성구 북유성대로 310 ,표지판형
대전광역시,유성구,노은역 2번 출구,운송주차과,대전광역시 유성구 노은로 165 ,표지판형
대전광역시,유성구,구암역 2번 출구,운송주차과,대전광역시 유성구 유성대로 698 ,표지판형
대전광역시,유성구,유성금호고속버스터미널,운송주차과,대전광역시 유성구 장대로 52 ,표지판형
대전광역시,유성구,유성호텔,운송주차과,대전광역시 유성구 온천서로 17 ,표지판형
대전광역시,유성구,유성온천역 1번 출구,운송주차과,대전광역시 유성구 계룡로 114,표지판형
대전광역시,유성구,롯데리아 맞은편,운송주차과,대전광역시 유성구 신성남로 48 ,표지판형
대전광역시,유성구,도룡스포츠센터,운송주차과,대전광역시 유성구 대덕대로 579 ,표지판형
대전광역시,유성구,호텔ICC,운송주차과,대전광역시 유성구 엑스포로123번길 59 ,표지판형
대전광역시,유성구,샘물타운아파트 상가,운송주차과,대전광역시 유성구 진잠로42번길 116 ,표지판형
대전광역시,유성구,진잠타운아파트 입구/상가,운송주차과,대전광역시 유성구 진잠로42번길 86 ,표지판형
대전광역시,유성구,자운대,운송주차과,대전광역시 유성구 자운로157번길 111 ,표지판형
대전광역시,유성구,신종수소아과,운송주차과,대전광역시 유성구 엑스포로 473 ,표지판형
대전광역시,유성구,전민중,운송주차과,대전광역시 유성구 엑스포로 502 ,표지판형
대전광역시,유성구,빽다방,운송주차과,대전광역시 유성구 유성대로 1736 ,표지판형
대전광역시,유성구,롯데마트 테크노밸리점,운송주차과,대전광역시 유성구 관평1로 5 ,표지판형
대전광역시,대덕구,한마음아파트,운송주차과,대전광역시 대덕구 계족로664번길 27 ,표지판형
대전광역시,대덕구,신대동 주공아파트 한우리축산물,운송주차과,대전광역시 대덕구 신탄진로 217 ,표지판형
대전광역시,대덕구,다인치과,운송주차과,대전광역시 대덕구 신탄진로 838 ,표지판형
대전광역시,대덕구,석봉네거리,운송주차과,대전광역시 대덕구 대덕대로 1537 ,표지판형
대전광역시,동구,복합터미널/롯데리아,운송주차과,대전광역시 동구 동서대로1695번길 46 ,쉘터형
대전광역시,동구,복합터미널/서관,운송주차과,대전광역시 동구 동서대로1695번길 11 ,쉘터형
대전광역시,동구,대전역 동광장,운송주차과,대전광역시 동구 중앙로 247 ,쉘터형
대전광역시,중구,중앙로역 6번출구/NC백화점,운송주차과,대전광역시 중구 중앙로 139 ,쉘터형
대전광역시,중구,대전세무서,운송주차과,대전광역시 중구 보문로 327 ,쉘터형
대전광역시,중구,선병원,운송주차과,대전광역시 중구 목중로 27 ,쉘터형
대전광역시,중구,서대전역,운송주차과,대전광역시 중구 오류로 23 ,쉘터형
대전광역시,중구,대전서남부터미널,운송주차과,대전광역시 중구 유등천동로 346 ,쉘터형
대전광역시,중구,대전동물원,운송주차과,대전광역시 중구 사정공원로 78 ,쉘터형
대전광역시,서구,예술의전당,운송주차과,대전광역시 서구 둔산대로 155 ,쉘터형
대전광역시,서구,누리아파트 정문/신한은행,운송주차과,대전광역시 서구 청사로 68 ,쉘터형
대전광역시,서구,선사클리닉,운송주차과,대전광역시 서구 청사로 119 ,쉘터형
대전광역시,서구,청사시외버스정류소,운송주차과,대전광역시 서구 대덕대로 318 ,쉘터형
대전광역시,서구,국민은행 선사지점,운송주차과,대전광역시 서구 대덕대로 296 ,쉘터형
대전광역시,서구,고속버스 둔산정류장,운송주차과,대전광역시 서구 청사로 253 꿈나무아파트204동 앞,복합
대전광역시,서구,사학연금회관,운송주차과,대전광역시 서구 한밭대로 809 ,쉘터형
대전광역시,서구,이마트 둔산점,운송주차과,대전광역시 서구 대덕대로 263 ,쉘터형
대전광역시,서구,아모레퍼시픽 대전지점,운송주차과,대전광역시 서구 대덕대로 245 ,쉘터형
대전광역시,서구,타임월드,운송주차과,대전광역시 서구 대덕대로 211 ,쉘터형
대전광역시,서구,타임월드 맞은편,운송주차과,대전광역시 서구 대덕대로 216 ,쉘터형
대전광역시,서구,대전광역시청/의회,운송주차과,대전광역시 서구 둔산서로 38 ,쉘터형
대전광역시,서구,오페라웨딩홀/서쪽,운송주차과,대전광역시 서구 둔산서로 14 ,쉘터형
대전광역시,서구,목련아파트 SC제일은행,운송주차과,대전광역시 서구 문예로 39 ,쉘터형
대전광역시,서구,세이브존,운송주차과,대전광역시 서구 문정로 198 ,쉘터형
대전광역시,서구,"홈플러스 탄방점 맞은편, 교원공제회관",운송주차과,대전광역시 서구 둔산중로 10 ,쉘터형
대전광역시,서구,홈플러스 탄방점,운송주차과,대전광역시 서구 둔산중로 5 ,쉘터형
대전광역시,서구,보라매공원 운전자쉼터,운송주차과,대전광역시 서구 문정로48번길 66 ,쉘터형
대전광역시,서구,롯데백화점,운송주차과,대전광역시 서구 계룡로 598 ,쉘터형
대전광역시,서구,정림이비인후과,운송주차과,대전광역시 서구 계백로 1280 ,쉘터형
대전광역시,유성구,열매마을5단지 입구,운송주차과,대전광역시 유성구 은구비로 33 ,쉘터형
대전광역시,유성구,노은역4번 출구,운송주차과,대전광역시 유성구 노은로 158 ,쉘터형
대전광역시,유성구,대전월드컵경기장 입구,운송주차과,대전광역시 유성구 월드컵대로 30 ,쉘터형
대전광역시,유성구,舊리베라호텔,운송주차과,대전광역시 유성구 온천서로 9 ,쉘터형
대전광역시,유성구,현대리조텔,운송주차과,대전광역시 유성구 대학로 27 ,쉘터형
대전광역시,유성구,홍인오피스텔,운송주차과,대전광역시 유성구 대학로 30 ,쉘터형
대전광역시,유성구,홈플러스 유성점,운송주차과,대전광역시 유성구 온천동로 99 ,쉘터형
대전광역시,유성구,대전컨벤션센터 북쪽,운송주차과,대전광역시 유성구 엑스포로123번길 27-29 ,쉘터형
대전광역시,유성구,현대아울렛1,운송주차과,대전광역시 유성구 테크노중앙로 123,쉘터형
대전광역시,유성구,현대아울렛2,운송주차과,대전광역시 유성구 테크노중앙로 123,쉘터형
대전광역시,대덕구,근로복지공단 대전병원,운송주차과,대전광역시 대덕구 계족로 631 ,쉘터형
대전광역시,대덕구,보람코아 앞,운송주차과,대전광역시 대덕구 동춘당로 176 ,쉘터형
대전광역시,대덕구,신탄진 롯데리아,운송주차과,대전광역시 대덕구 신탄진로 818 ,쉘터형
대전광역시,대덕구,신탄진역,운송주차과,대전광역시 대덕구 신탄진로 809 ,쉘터형
